[    2899ms] [ERROR] Access to fetch at 'https://demotiles.maplibre.org/fonts/Montserrat%20Medium,Open%20Sans%20Bold,Noto%20Sans%20Regular,HanWangHeiLight%20Regular,NanumBarunGothic%20Regular/256-511.pbf' from origin 'https://malta-osint.vercel.app' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ https://malta-osint.vercel.app/:0
[    2899ms] [ERROR] Failed to load resource: net::ERR_FAILED @ https://demotiles.maplibre.org/fonts/Montserrat%20Medium,Open%20Sans%20Bold,Noto%20Sans%20Regular,HanWangHeiLight%20Regular,NanumBarunGothic%20Regular/256-511.pbf:0
[    2903ms] [WARNING] Unable to load glyph range 1, 256-511. Rendering codepoint U+0120 locally instead. Error: AJAXError: Failed to fetch (0): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/256-511.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3027ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://demotiles.maplibre.org/fonts/Montserrat%20Medium,Open%20Sans%20Bold,Noto%20Sans%20Regular,HanWangHeiLight%20Regular,NanumBarunGothic%20Regular/0-255.pbf:0
[    3036ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0020 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3036ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0027 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3036ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0041 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3037ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0042 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3037ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0043 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3037ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0045 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3037ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0047 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3037ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0049 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3037ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+004C locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3038ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+004D locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[    3038ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+004E locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Montserrat Medium,Open Sans Bold,Noto Sans Regular,HanWangHeiLight Regular,NanumBarunGothic Regular/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
